sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-1089,33,79,683.4999999999999
10,-6561,81,342,2886.300000000001
15,-8649,93,430,3602.7000000000003
20,-9801,99,302,2517.0
25,-9409,97,444,3609.5
30,-9025,95,358,2981.2000000000007
35,-12769,113,481,3726.6
40,-13456,116,650,4701.599999999999
45,-12100,110,757,5560.099999999999
50,-12100,110,523,4028.499999999999
55,-14161,119,880,6485.6
60,-17424,132,915,6688.8
65,-15625,125,826,6170.399999999999
70,-20449,143,720,5498.999999999999
75,-17689,133,734,5640.700000000001
80,-11664,108,697,5257.799999999999
85,-15376,124,570,4388.3
90,-14161,119,466,3761.4999999999995
95,-16900,130,571,4637.100000000001
100,-13924,118,524,4075.2999999999997
105,-10000,100,465,3638.999999999999
110,-12100,110,443,3587.2999999999997
115,-16129,127,683,5578.900000000002
120,-21316,146,1125,9071.300000000001
125,-17956,134,800,6682.699999999999
130,-24336,156,769,6242.0
135,-28561,169,1030,8436.1
140,-23409,153,1168,9477.399999999998
145,-16129,127,891,7030.0
150,-12321,111,560,4439.2
155,-14884,122,612,4849.5
160,-17161,131,560,4402.9
165,-17689,133,526,4245.200000000001
170,-13924,118,619,4920.600000000001
175,-17424,132,852,6870.900000000002
180,-12996,114,575,4477.999999999999
185,-13689,117,811,6520.700000000001
190,-16900,130,955,7517.0999999999985
195,-17161,131,847,6519.000000000002
200,-22500,150,933,7189.700000000001
205,-19044,138,745,5603.4
210,-20736,144,1056,7624.899999999999
215,-18225,135,992,7251.900000000001
220,-27225,165,956,7087.5
225,-24964,158,870,6776.999999999999
230,-21025,145,762,6139.299999999998
235,-20164,142,695,5651.5999999999985
240,-25281,159,976,8091.5
245,-26244,162,893,7304.300000000001
250,-16900,130,808,6434.2
255,-11449,107,521,4222.7
260,-8464,92,365,2931.2000000000003
265,-12769,113,520,4163.200000000001
270,-15876,126,546,4527.099999999999
275,-17424,132,569,4531.399999999999
280,-14161,119,505,4166.299999999999
285,-8649,93,375,3187.4
290,-6561,81,380,3175.0
295,-3364,58,169,1411.3999999999999
300,-4225,65,171,1368.2000000000003
305,-6724,82,191,1712.8
310,-7396,86,268,2238.3
315,-5625,75,281,2469.2
320,-10609,103,419,3533.5
325,-13456,116,531,4132.199999999999
330,-10609,103,466,3538.2999999999997
335,-11236,106,386,3039.4000000000005
340,-6241,79,376,2915.3999999999996
345,-6400,80,451,3577.7000000000003
350,-5476,74,272,2107.7
355,-3969,63,168,1400.1
360,-5041,71,295,2194.0999999999995
365,-5329,73,188,1627.9
370,-5041,71,208,1779.3000000000002
375,-5041,71,291,2338.6999999999994
380,-5041,71,419,3435.4999999999995
385,-5041,71,234,1876.2999999999997
390,-4356,66,315,2556.2999999999997
395,-2916,54,156,1343.6
400,-4900,70,165,1313.5
405,-3844,62,238,1921.6000000000004
410,-3364,58,130,1036.7
415,-2304,48,157,1301.1
420,-2025,45,104,844.1999999999999
425,-2916,54,165,1359.4
430,-1849,43,87,782.1999999999999
435,-900,30,89,749.4
440,-3969,63,143,1181.6
445,-4225,65,186,1521.1
450,-7396,86,231,1856.1000000000004
455,-4761,69,259,2153.8
460,-5329,73,205,1607.1
465,-6724,82,294,2393.9
470,-5625,75,218,1850.1999999999998
475,-6084,78,417,3407.200000000001
480,-5184,72,296,2481.8999999999996
485,-3481,59,151,1278.3000000000002
490,-1849,43,101,888.7
495,-2116,46,123,1073.6000000000001
500,-4356,66,153,1187.1000000000001
505,-5184,72,210,1773.3000000000002
510,-5329,73,248,2191.0
515,-6400,80,258,2247.8
520,-7056,84,294,2474.8999999999996
525,-5476,74,262,2190.3999999999996
530,-7921,89,348,2865.3
535,-4489,67,235,1893.6
540,-3721,61,154,1295.3000000000002
545,-3364,58,157,1306.6
550,-3969,63,181,1394.4999999999998
555,-4900,70,238,1835.8999999999999
560,-6241,79,248,1880.2999999999997
565,-4356,66,157,1269.5
570,-3600,60,164,1432.0999999999997
575,-4900,70,240,1817.7000000000003
580,-4489,67,159,1359.7000000000003
585,-2500,50,136,1159.0
590,-2401,49,156,1344.2
595,-2601,51,105,871.6999999999999
600,-2025,45,71,595.4
605,-2209,47,91,764.4000000000001
610,-4761,69,204,1584.9999999999995
615,-5929,77,247,2111.1
620,-2704,52,131,1070.6000000000001
625,-4225,65,153,1283.9
630,-3721,61,145,1286.8999999999996
635,-4489,67,163,1432.8000000000002
640,-3136,56,184,1593.7
645,-2304,48,79,649.7
650,-2025,45,123,1111.0000000000002
655,-4356,66,116,1014.4
660,-5184,72,192,1557.1
665,-5476,74,276,2177.1
670,-7921,89,285,2414.0999999999995
675,-5329,73,238,1820.0999999999997
680,-5625,75,207,1625.2
685,-8649,93,272,2198.4000000000005
690,-8836,94,356,2963.0999999999995
695,-10000,100,407,3196.0
700,-11664,108,496,4175.6
705,-13924,118,380,3072.5
710,-10000,100,377,3045.3
715,-11664,108,389,3200.7
720,-7569,87,391,3229.0
725,-5929,77,349,2751.8
730,-7225,85,221,1917.5
735,-6400,80,236,1937.8
740,-3844,62,205,1633.9
745,-7569,87,255,2088.8
750,-6241,79,212,1797.3
755,-5184,72,190,1527.3
760,-4624,68,271,2071.9999999999995
765,-4900,70,197,1663.5000000000002
770,-5184,72,184,1548.4
775,-5329,73,189,1528.1999999999998
780,-3136,56,134,1093.8999999999999
785,-2601,51,126,1072.6999999999998
790,-3721,61,117,994.9999999999999
795,-4900,70,181,1544.1999999999998
800,-5184,72,197,1628.0
805,-6241,79,254,2080.8
810,-9604,98,433,3678.599999999999
815,-7921,89,385,3197.3
820,-10404,102,315,2644.6000000000004
825,-6724,82,326,2608.9
830,-11025,105,429,3358.9000000000005
835,-10816,104,532,4458.5
840,-6561,81,348,2969.2
845,-6889,83,263,2237.3
850,-5041,71,206,1644.1000000000004
855,-3600,60,191,1546.9
860,-2209,47,163,1274.0
865,-4356,66,131,1109.0
870,-2209,47,159,1304.7
875,-784,28,57,499.1
880,-1849,43,93,785.6000000000001
885,-625,25,39,331.7
890,-625,25,43,353.79999999999995
895,-1681,41,78,657.6
900,-4096,64,147,1274.9
905,-1936,44,169,1294.8999999999999
910,-2601,51,128,1003.2000000000002
915,-5476,74,165,1356.2000000000003
920,-5929,77,196,1594.0
925,-2704,52,146,1150.0
930,-11025,105,306,2472.2
935,-6400,80,317,2759.2
940,-8281,91,288,2421.8
945,-9801,99,345,2714.9999999999995
950,-11025,105,399,3035.2999999999997
