sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-2209,47,105,824.6
10,-3249,57,199,1676.6
15,-12321,111,620,5070.5
20,-11236,106,520,4223.900000000001
25,-16129,127,585,4741.799999999999
30,-19881,141,867,7040.500000000001
35,-19321,139,691,5805.0
40,-15129,123,571,4544.3
45,-19321,139,795,6352.799999999998
50,-17689,133,819,6423.5999999999985
55,-10816,104,761,5553.099999999999
60,-15625,125,1155,8448.0
65,-18769,137,1638,11862.800000000001
70,-13689,117,1505,11082.799999999997
75,-20164,142,822,6134.2
80,-23409,153,816,6083.299999999999
85,-34596,186,1015,7699.400000000001
90,-29929,173,1251,9821.699999999997
95,-39204,198,1661,12474.900000000001
100,-57121,239,2238,16482.600000000002
105,-54289,233,1925,14547.999999999996
110,-62001,249,2171,16335.100000000004
115,-54289,233,2098,16418.1
120,-47089,217,2178,16250.099999999999
125,-41616,204,2475,17910.000000000007
130,-47089,217,2734,19774.300000000003
135,-36100,190,2599,18503.9
140,-36100,190,2069,14724.800000000001
145,-32761,181,1621,11807.600000000004
150,-38025,195,1219,9136.299999999997
155,-36481,191,1167,8884.300000000001
160,-37249,193,1209,9282.699999999997
165,-41209,203,1279,9794.399999999998
170,-31684,178,1900,14365.499999999996
175,-21316,146,2063,14960.7
180,-21316,146,1535,11008.700000000004
185,-31684,178,2049,14709.099999999999
190,-25600,160,1386,10147.499999999998
195,-20449,143,862,6753.499999999999
200,-18225,135,880,7001.0999999999985
205,-20449,143,1165,9123.6
210,-17956,134,836,6562.899999999999
215,-24025,155,964,7612.700000000001
220,-21904,148,884,6924.900000000001
225,-13689,117,638,4823.1
230,-12769,113,675,5235.799999999999
235,-18225,135,836,6255.899999999999
240,-15129,123,709,5325.400000000001
245,-15625,125,713,5360.199999999999
250,-16129,127,870,6373.300000000002
255,-17689,133,1296,9310.600000000002
260,-20449,143,1417,10388.0
265,-26896,164,918,7168.1
270,-20164,142,807,6359.599999999999
275,-15876,126,640,5199.700000000001
280,-15129,123,690,5611.300000000001
285,-19044,138,1067,8684.900000000003
290,-16129,127,782,6426.400000000001
295,-21904,148,1291,10496.500000000002
300,-13456,116,1265,10409.3
305,-22500,150,1823,14830.400000000003
310,-29929,173,1900,15230.800000000001
315,-24964,158,1277,10130.199999999999
320,-25600,160,851,6689.699999999999
325,-23716,154,1124,8811.9
330,-31329,177,1268,10094.099999999999
335,-28900,170,1650,13261.099999999999
340,-18496,136,1884,15507.5
345,-17689,133,1364,11422.599999999997
350,-17689,133,1789,14898.700000000004
355,-27556,166,1933,15510.5
360,-29241,171,1366,10909.0
365,-31329,177,1919,15400.900000000001
370,-27225,165,1760,14119.100000000002
375,-24025,155,1416,11451.500000000002
380,-30276,174,1438,11633.5
385,-45796,214,2125,17263.6
390,-33489,183,2490,20156.999999999996
395,-38025,195,2915,23120.3
400,-38025,195,3394,27359.299999999996
405,-42849,207,2763,22215.000000000004
410,-29241,171,2635,20883.800000000003
415,-24649,157,2392,18971.599999999995
420,-26244,162,2937,23346.899999999994
425,-25281,159,2781,22339.599999999995
430,-23409,153,3050,24458.800000000007
435,-17424,132,3364,26663.800000000014
440,-17424,132,2768,21659.799999999992
445,-19044,138,2307,18464.2
450,-29241,171,2859,22951.5
455,-28900,170,1533,12232.899999999998
460,-32761,181,970,7647.200000000001
465,-32400,180,1189,9336.400000000001
470,-32041,179,1400,10916.999999999998
475,-33856,184,1427,10938.7
480,-43681,209,1918,14816.599999999999
485,-37249,193,1972,15329.599999999999
490,-43681,209,1665,13092.099999999999
495,-38416,196,1894,14793.900000000005
500,-36864,192,1373,10626.9
505,-34969,187,1549,12125.699999999997
510,-35721,189,1408,10913.2
515,-35344,188,1163,9137.399999999998
520,-33856,184,1086,8756.7
525,-29929,173,1362,10997.500000000004
530,-28900,170,1677,13270.099999999999
535,-27225,165,1811,14721.3
540,-25281,159,1726,14264.700000000004
545,-31329,177,1536,12014.699999999999
550,-30276,174,1613,12139.200000000003
555,-26569,163,1544,11315.599999999999
560,-21904,148,1463,10839.499999999998
565,-26896,164,1233,9228.199999999999
570,-27225,165,1410,10572.999999999998
575,-29929,173,1342,9888.500000000002
580,-28900,170,1127,8396.3
585,-19044,138,836,6614.6
590,-13689,117,565,4412.5
595,-12100,110,510,4272.800000000001
600,-12996,114,385,3113.7999999999993
605,-12769,113,567,4629.799999999999
610,-19600,140,972,7852.800000000001
615,-30625,175,1490,11957.199999999988
620,-27556,166,1324,10548.300000000001
625,-29584,172,1100,8975.799999999997
630,-30625,175,1112,8691.2
635,-29584,172,1137,8639.7
640,-36864,192,1350,10317.499999999998
645,-38025,195,1570,11877.100000000002
650,-36481,191,1442,11071.3
655,-35721,189,1862,13911.699999999997
660,-28561,169,1373,10542.700000000003
665,-30976,176,915,7421.899999999999
670,-31684,178,1168,9159.499999999998
675,-34969,187,1418,11444.699999999997
680,-24964,158,1779,14422.900000000001
685,-23409,153,1495,11885.400000000001
690,-24336,156,1176,9091.2
695,-28900,170,1467,10819.400000000001
700,-31329,177,1500,11414.399999999998
705,-29241,171,1700,12627.7
710,-27889,167,2077,15051.099999999997
715,-28900,170,2264,16444.700000000004
720,-23716,154,1900,14329.2
725,-20736,144,1739,12913.900000000005
730,-20164,142,1027,7658.200000000003
735,-15625,125,659,5267.0
740,-17424,132,1060,8287.300000000001
745,-17161,131,789,6033.9
750,-13456,116,942,7017.799999999998
755,-13924,118,651,5055.000000000002
760,-8281,91,335,2748.6
765,-6084,78,352,2688.9000000000005
770,-6400,80,436,3242.6
775,-11881,109,634,4661.3
780,-10609,103,452,3507.6000000000004
785,-5776,76,244,1977.4
790,-9604,98,275,2260.1000000000004
795,-13924,118,684,5313.9
800,-16129,127,717,5820.399999999998
805,-14641,121,639,5248.8
810,-10816,104,457,3586.3999999999996
815,-10000,100,578,4591.3
820,-20449,143,883,7181.900000000001
825,-20449,143,787,6557.7
830,-18225,135,594,4811.8
835,-15129,123,507,4068.0000000000005
840,-9409,97,475,3923.3
845,-5929,77,310,2465.7000000000003
850,-5625,75,191,1629.8
855,-8100,90,347,2855.8999999999996
860,-8464,92,432,3616.3999999999996
865,-6400,80,350,2757.1000000000004
870,-7744,88,319,2481.7
875,-7744,88,303,2399.3999999999996
880,-11881,109,330,2736.5000000000005
885,-11025,105,464,3716.2999999999993
890,-21609,147,840,6503.599999999999
895,-26569,163,1133,8871.5
900,-48841,221,2073,16180.099999999995
905,-36100,190,1709,13703.900000000001
910,-36100,190,1442,11254.5
915,-36481,191,1192,9841.399999999998
920,-35721,189,1188,9431.599999999999
925,-36100,190,1323,10768.0
930,-38416,196,1116,9093.0
935,-30276,174,1067,8762.800000000001
940,-33124,182,1298,10681.199999999999
945,-27556,166,1211,9938.299999999996
950,-32400,180,1270,10408.500000000004
955,-35721,189,1301,10257.6
960,-38809,197,1300,10295.8
965,-42025,205,1475,11419.399999999998
970,-50176,224,1428,11382.5
975,-40401,201,1733,13651.7
980,-42436,206,1774,13729.6
985,-42025,205,1620,12447.000000000004
990,-41209,203,1728,13237.900000000001
995,-33856,184,1290,9970.699999999999
1000,-36100,190,1449,11334.300000000003
1005,-32041,179,1386,11059.100000000002
1010,-25281,159,970,7718.200000000001
1015,-28561,169,905,7363.5999999999985
1020,-23104,152,877,7144.799999999999
1025,-19600,140,810,6858.000000000001
1030,-32041,179,1460,12218.999999999995
1035,-21609,147,994,8208.699999999999
1040,-17956,134,754,6149.5
1045,-20164,142,687,5399.099999999999
1050,-21025,145,711,5559.799999999999
1055,-22801,151,848,6699.700000000001
1060,-31684,178,1263,9650.900000000001
1065,-29241,171,991,8001.000000000002
1070,-24336,156,1037,8424.3
1075,-29241,171,925,7452.0
1080,-34225,185,1271,10144.000000000002
1085,-27889,167,878,7087.300000000001
1090,-30276,174,878,7003.399999999998
1095,-25281,159,885,7090.299999999999
1100,-27556,166,889,7008.500000000001
1105,-25921,161,871,6960.800000000001
1110,-19321,139,797,6185.299999999999
1115,-14400,120,755,5841.0
1120,-24336,156,860,6679.799999999999
1125,-44100,210,1515,11420.199999999999
1130,-25600,160,1325,10325.9
1135,-22801,151,1244,9108.2
1140,-26896,164,1009,7770.299999999999
1145,-25600,160,855,7190.000000000001
1150,-23716,154,900,7410.5
1155,-22500,150,1209,9987.599999999999
1160,-20164,142,1030,8402.699999999997
1165,-18769,137,624,5177.6
1170,-16384,128,647,5315.7
1175,-21609,147,615,5089.5
1180,-23716,154,701,6021.1
1185,-22500,150,789,6441.099999999999
1190,-20449,143,756,6078.900000000002
1195,-26896,164,947,7603.799999999999
1200,-24964,158,987,7878.299999999999
1205,-24336,156,1097,8535.4
1210,-23409,153,820,6436.600000000001
1215,-26569,163,1052,8628.400000000001
1220,-24649,157,806,6492.799999999998
1225,-29929,173,922,7222.5
1230,-30276,174,1133,9410.9
1235,-25921,161,984,8005.500000000002
1240,-24336,156,778,6183.5
1245,-27225,165,1046,8688.399999999998
1250,-24964,158,1031,8582.699999999997
1255,-22500,150,982,7732.799999999997
1260,-32041,179,1112,8386.699999999999
1265,-36481,191,1091,8758.599999999999
1270,-38416,196,1276,10399.599999999999
1275,-46656,216,1336,10504.8
1280,-43264,208,1459,11410.3
1285,-38025,195,1367,10724.500000000002
1290,-34596,186,1321,10159.800000000001
1295,-29241,171,1145,8699.2
1300,-23104,152,823,6394.199999999999
1305,-28561,169,1194,8810.800000000003
1310,-21025,145,1349,9711.000000000002
1315,-12769,113,878,6362.400000000001
1320,-12100,110,857,6272.899999999999
1325,-14884,122,537,4303.800000000001
1330,-12321,111,459,3799.7
1335,-11025,105,479,3848.9000000000005
1340,-13225,115,597,4794.200000000001
1345,-13225,115,669,5397.6
1350,-17956,134,559,4444.6
1355,-21025,145,903,7132.900000000001
1360,-14161,119,640,5256.400000000001
1365,-11236,106,427,3494.4000000000005
1370,-10000,100,423,3527.2
1375,-10404,102,340,2799.7
1380,-9216,96,425,3452.0
1385,-7396,86,393,3106.7000000000007
1390,-5776,76,496,3823.8999999999996
1395,-5184,72,219,1846.8
1400,-8100,90,277,2252.5
1405,-6561,81,298,2395.2
1410,-6400,80,348,2706.2000000000003
1415,-9025,95,540,4105.000000000002
1420,-11449,107,861,6419.8
1425,-12996,114,866,6512.600000000003
1430,-20736,144,959,7156.499999999999
1435,-21025,145,1149,8557.400000000001
1440,-20164,142,841,6293.000000000001
1445,-16384,128,672,5277.6
1450,-20449,143,869,6809.199999999999
1455,-16641,129,819,6440.700000000001
1460,-14641,121,585,4577.299999999999
1465,-19600,140,902,6915.299999999998
1470,-18769,137,1221,9007.399999999998
1475,-16900,130,834,6353.200000000003
1480,-16129,127,1170,8583.499999999998
1485,-20164,142,1255,9126.900000000001
1490,-22201,149,1359,9897.900000000001
1495,-16129,127,804,6338.600000000001
1500,-19881,141,698,5488.599999999999
1505,-19321,139,637,4795.500000000001
1510,-12100,110,481,3715.6
1515,-9409,97,527,4012.600000000001
1520,-9025,95,366,2821.6
1525,-8836,94,393,3142.3000000000006
1530,-6400,80,328,2663.5
1535,-3600,60,204,1584.8999999999996
1540,-3721,61,185,1535.1999999999998
1545,-4356,66,187,1566.1000000000001
1550,-4356,66,292,2472.0
1555,-5929,77,205,1747.8
1560,-5625,75,246,2020.7000000000003
1565,-5625,75,220,1728.9999999999998
1570,-7225,85,323,2669.5
1575,-10201,101,312,2532.0
1580,-11881,109,346,2888.2
1585,-11236,106,408,3420.7999999999997
1590,-10201,101,410,3277.2000000000003
1595,-11025,105,437,3382.9999999999995
1600,-11664,108,619,4686.3
1605,-13924,118,889,6715.599999999999
1610,-13924,118,880,6598.899999999998
1615,-22201,149,1285,9558.499999999998
1620,-35721,189,1693,12560.400000000001
1625,-29584,172,1387,10331.300000000001
1630,-30976,176,1426,10503.8
1635,-34596,186,1454,10807.8
1640,-36864,192,1508,11394.800000000005
1645,-36481,191,1277,10133.3
1650,-28900,170,1076,8382.8
1655,-30625,175,1046,8242.1
1660,-29929,173,1379,10924.299999999996
1665,-29929,173,1166,8967.9
1670,-24964,158,1141,8601.400000000001
1675,-20449,143,820,6410.000000000002
1680,-17956,134,659,5203.600000000001
1685,-19044,138,843,6612.200000000001
1690,-22801,151,1326,10178.899999999996
1695,-24025,155,914,6908.4000000000015
1700,-23716,154,873,6561.5
1705,-23409,153,965,7131.499999999999
1710,-14161,119,667,5349.9
1715,-13456,116,496,4119.3
1720,-14641,121,521,4067.0
1725,-12996,114,553,4088.9999999999995
1730,-15376,124,721,5282.499999999999
1735,-18769,137,862,6424.100000000001
1740,-20449,143,569,4508.799999999999
1745,-18496,136,791,5849.5
1750,-21609,147,897,6677.0999999999985
1755,-17956,134,920,6642.699999999999
1760,-17689,133,822,6366.4
1765,-18225,135,566,4670.2
1770,-13924,118,578,4623.0
1775,-10000,100,458,3748.6
1780,-7569,87,301,2590.000000000001
1785,-12321,111,464,3791.7000000000003
1790,-7056,84,331,2758.7
1795,-7921,89,232,1871.8000000000002
1800,-5625,75,294,2354.0
1805,-4096,64,195,1634.7
1810,-3600,60,202,1784.3
1815,-7569,87,230,2012.9
1820,-10404,102,414,3244.5999999999995
1825,-15129,123,700,5513.799999999999
1830,-12100,110,530,4160.9000000000015
1835,-12100,110,464,3870.4000000000005
1840,-15129,123,635,5380.300000000003
1845,-15129,123,529,4277.6
1850,-16384,128,586,4316.1
1855,-17424,132,631,4774.099999999999
1860,-15129,123,600,4590.2
1865,-11449,107,458,3592.8000000000006
1870,-10816,104,421,3291.6
1875,-9216,96,471,3747.1000000000004
1880,-9409,97,308,2414.3999999999996
1885,-9409,97,359,2957.7
1890,-11881,109,374,2959.2999999999997
1895,-7744,88,347,2713.8
1900,-5184,72,248,2040.9999999999995
1905,-4225,65,159,1340.0
1910,-5476,74,224,1768.4
1915,-9409,97,290,2259.9
1920,-12100,110,347,2860.8999999999996
1925,-13689,117,412,3382.8
1930,-13689,117,494,3965.2000000000003
1935,-11449,107,447,3373.4999999999995
1940,-15129,123,483,3970.8000000000006
1945,-14884,122,549,4614.0
1950,-17161,131,472,3765.5
1955,-15625,125,490,4130.7
1960,-17161,131,528,4323.9
1965,-12100,110,505,4153.799999999999
1970,-13456,116,555,4504.800000000001
1975,-14161,119,603,5101.599999999999
1980,-9604,98,446,3530.7000000000003
1985,-5625,75,290,2254.4
1990,-2601,51,183,1568.2999999999997
1995,-2304,48,96,848.0999999999999
2000,-5329,73,259,2070.1
2005,-3600,60,163,1405.6
2010,-9409,97,413,3409.500000000001
2015,-17161,131,664,5297.099999999999
2020,-20449,143,695,5239.0999999999985
2025,-19044,138,653,4921.2
2030,-21609,147,661,5260.9
2035,-17689,133,653,5458.400000000001
2040,-13225,115,603,4686.099999999999
2045,-10000,100,381,2979.7000000000003
2050,-9409,97,356,2867.7999999999997
2055,-9216,96,355,2781.899999999999
2060,-14161,119,610,4562.4
2065,-8836,94,454,3461.8999999999996
2070,-11449,107,465,3738.1
2075,-11449,107,575,4644.099999999999
2080,-21316,146,829,6547.4000000000015
2085,-17956,134,670,5382.200000000001
2090,-19600,140,735,5921.600000000002
2095,-20164,142,633,5036.900000000001
2100,-13225,115,565,4617.700000000001
2105,-10609,103,438,3597.3
2110,-4900,70,239,2031.9
2115,-4225,65,160,1345.6
2120,-6724,82,266,2121.6
2125,-3136,56,130,1087.3
2130,-2401,49,131,1092.8999999999999
2135,-2916,54,115,992.1
2140,-3844,62,151,1342.8000000000002
2145,-7056,84,202,1671.1
2150,-9216,96,385,2861.6000000000004
2155,-11025,105,506,3871.9000000000005
2160,-9216,96,451,3473.8
2165,-10609,103,580,4384.6
2170,-5329,73,283,2365.0
2175,-8281,91,348,2873.1000000000004
2180,-9409,97,320,2604.2
2185,-6561,81,234,1833.8
2190,-5041,71,231,1904.6
2195,-5929,77,322,2611.2
2200,-3364,58,254,2139.0
2205,-3481,59,123,1066.4999999999998
2210,-3249,57,213,1764.3000000000002
2215,-5184,72,229,1705.3999999999999
2220,-2500,50,169,1396.7
2225,-3025,55,144,1233.4999999999995
2230,-3364,58,163,1266.7
2235,-3249,57,229,1805.8000000000004
2240,-5776,76,205,1762.2999999999997
2245,-10816,104,434,3455.2
2250,-9409,97,527,4450.400000000001
2255,-17161,131,672,5729.299999999999
2260,-23716,154,662,5463.599999999999
2265,-16129,127,572,4418.099999999999
2270,-15625,125,572,4382.5
2275,-20164,142,900,6979.5
2280,-13456,116,581,4571.000000000001
2285,-14161,119,466,3750.5000000000005
2290,-13456,116,591,4856.1
2295,-16641,129,804,6673.300000000001
2300,-10609,103,560,4673.3
2305,-10609,103,337,2733.5999999999995
2310,-10000,100,403,3184.2000000000003
2315,-7921,89,263,2036.1
2320,-5625,75,269,2148.8999999999996
2325,-6400,80,253,2047.6
2330,-7921,89,390,3024.0
2335,-12544,112,483,3691.5
2340,-11025,105,628,4651.200000000001
2345,-11881,109,361,3067.2000000000003
2350,-11236,106,422,3561.8
2355,-10201,101,480,3983.1000000000004
2360,-9604,98,372,3021.5999999999995
2365,-7225,85,336,2828.6000000000004
2370,-6400,80,281,2286.499999999999
2375,-10816,104,371,3062.900000000001
2380,-13456,116,500,3831.899999999999
2385,-15129,123,459,3604.8000000000006
2390,-15876,126,465,3836.9
2395,-16641,129,623,5152.3
2400,-12769,113,451,3643.2000000000007
2405,-15625,125,464,3733.3
2410,-19600,140,733,5981.699999999999
2415,-21025,145,742,5957.199999999999
2420,-18225,135,778,6499.299999999999
2425,-23716,154,887,7156.600000000002
2430,-28561,169,1378,11323.599999999999
2435,-21025,145,864,7117.300000000001
2440,-16129,127,581,4756.6
2445,-18496,136,613,5128.0
2450,-16900,130,624,5152.9
2455,-17424,132,588,4842.700000000002
2460,-14400,120,521,4369.9
2465,-14641,121,496,4148.099999999999
2470,-16129,127,538,4250.5
2475,-16384,128,694,5133.299999999999
2480,-14400,120,778,5751.500000000002
2485,-14161,119,490,3844.2
2490,-13689,117,548,4241.0
2495,-8836,94,587,4520.7
2500,-9604,98,405,3148.2999999999993
2505,-14161,119,408,3316.9
2510,-14161,119,443,3519.8999999999996
2515,-17689,133,515,4185.799999999998
2520,-15625,125,592,4786.799999999999
2525,-11449,107,433,3506.8
2530,-6241,79,310,2570.1000000000004
2535,-3969,63,199,1688.6999999999998
2540,-1936,44,108,877.8
2545,-2304,48,136,1103.6
2550,-5184,72,230,1767.9
2555,-4900,70,271,2217.3
2560,-3969,63,154,1265.0
2565,-5184,72,294,2422.9000000000005
2570,-5929,77,223,1982.8999999999996
2575,-2916,54,230,1812.8000000000002
2580,-2500,50,102,804.5
2585,-1369,37,79,675.5999999999999
2590,-361,19,43,367.4
2595,-2500,50,179,1385.0000000000002
2600,-3364,58,120,1026.2
2605,-4489,67,191,1571.1999999999998
2610,-5929,77,175,1525.5999999999997
2615,-3969,63,205,1761.0000000000002
2620,-4096,64,177,1496.0
2625,-2500,50,178,1474.9
2630,-3025,55,148,1183.3000000000002
2635,-3844,62,199,1601.2000000000003
2640,-9216,96,310,2539.2999999999997
2645,-5625,75,258,2180.8
2650,-3844,62,182,1445.0
2655,-2601,51,134,1067.6
2660,-2704,52,174,1395.3000000000002
2665,-4761,69,240,1992.5
2670,-7744,88,275,2296.0999999999995
2675,-8281,91,309,2637.7
2680,-5929,77,249,2041.1
2685,-4225,65,186,1565.1
2690,-4489,67,226,1882.1000000000004
2695,-6889,83,250,2119.2999999999997
2700,-6084,78,225,1858.6999999999998
2705,-2704,52,167,1318.0
2710,-1444,38,83,691.9000000000001
2715,-1156,34,57,504.40000000000003
2720,-2304,48,114,937.0999999999999
2725,-4489,67,141,1207.3999999999999
2730,-3844,62,210,1660.1999999999998
2735,-4356,66,179,1550.5
2740,-5041,71,220,1919.6999999999996
2745,-3364,58,174,1502.0
2750,-4761,69,212,1783.0
2755,-3249,57,151,1258.8
2760,-1764,42,96,758.2
2765,-3364,58,145,1226.6
2770,-4225,65,157,1379.2999999999997
2775,-3969,63,164,1374.1
2780,-4225,65,140,1168.6000000000001
2785,-5776,76,261,2294.1
2790,-4489,67,175,1500.3999999999999
2795,-6400,80,249,1961.9999999999998
2800,-8464,92,380,2913.200000000001
2805,-7225,85,311,2473.3
2810,-3721,61,208,1681.4
2815,-3136,56,127,1009.5000000000001
2820,-2809,53,168,1378.8
2825,-4624,68,186,1606.3000000000002
2830,-3721,61,152,1287.6000000000001
2835,-3364,58,163,1279.3
2840,-3721,61,197,1544.1999999999994
2845,-2025,45,108,943.5999999999999
2850,-2704,52,144,1215.8000000000002
2855,-729,27,53,474.19999999999993
2860,-400,20,33,308.0
2865,-1681,41,69,595.6
2870,-2116,46,111,969.6999999999999
2875,-1444,38,74,650.6999999999999
2880,-1600,40,84,714.7
2885,-2704,52,147,1226.7000000000003
2890,-729,27,50,417.2
2895,-169,13,23,184.10000000000002
2900,-900,30,48,408.4
2905,-1444,38,73,626.8
2910,-2809,53,131,1122.3000000000002
2915,-3249,57,199,1666.3
