sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-3844,62,162,1307.7000000000003
10,-5329,73,304,2270.100000000001
15,-16641,129,789,5850.700000000001
20,-20736,144,1177,8553.700000000003
25,-22500,150,1237,9066.3
30,-24336,156,1734,12502.700000000004
35,-11881,109,1144,8695.6
40,-17424,132,782,5910.599999999999
45,-19881,141,822,6291.600000000001
50,-22500,150,854,7127.699999999999
55,-14641,121,589,4870.900000000001
60,-12321,111,678,5509.600000000001
65,-13456,116,653,5237.800000000001
70,-19321,139,742,6069.7
75,-21316,146,645,5237.6
80,-18225,135,767,6023.699999999999
85,-18769,137,763,5861.500000000001
90,-19600,140,702,5322.500000000001
95,-18225,135,698,5428.3
100,-25600,160,958,8027.500000000002
105,-23716,154,1129,9517.7
110,-32761,181,1460,12173.800000000001
115,-25600,160,1182,9469.900000000001
120,-17424,132,1090,8628.3
125,-18769,137,967,7317.2
130,-21609,147,1062,8157.899999999999
135,-26569,163,1179,8977.299999999997
140,-21904,148,1261,9556.7
145,-20449,143,1121,8434.1
150,-24964,158,1602,11977.200000000004
155,-21316,146,1531,11426.500000000005
160,-33489,183,2259,16618.699999999997
165,-40401,201,2302,17002.999999999996
170,-46656,216,2032,15144.200000000008
175,-27889,167,2285,16792.699999999997
180,-25600,160,1071,8021.299999999999
185,-23409,153,1200,9233.899999999998
190,-22801,151,1805,13750.0
195,-39204,198,2292,17459.100000000002
200,-40804,202,2194,16886.6
205,-43681,209,2240,17566.600000000002
210,-44944,212,2560,19652.899999999994
215,-42849,207,3419,26033.799999999992
220,-53824,232,3965,30259.100000000002
225,-36481,191,3451,26186.099999999995
230,-44521,211,3872,29001.4
235,-55696,236,4816,36087.0
240,-64516,254,5167,39384.099999999984
245,-52900,230,4753,35399.29999999999
250,-51984,228,3865,28843.299999999996
255,-45796,214,3189,23339.0
260,-44944,212,3104,22361.6
265,-44944,212,2879,20932.699999999997
270,-51076,226,2832,21181.800000000003
275,-53361,231,2598,19652.1
