sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-3364,58,148,1236.2
10,-4489,67,263,2340.4000000000005
15,-4096,64,161,1374.7000000000003
20,-5476,74,207,1633.7
25,-9216,96,568,4188.599999999999
30,-14161,119,704,5204.2
35,-13689,117,734,5429.800000000001
40,-20164,142,1130,8450.599999999999
45,-16384,128,844,6519.2
50,-17689,133,1096,8705.300000000001
55,-22201,149,752,5903.299999999999
60,-18769,137,1174,9180.4
65,-16641,129,1104,8189.799999999999
70,-13225,115,597,4553.500000000001
75,-11664,108,671,5077.2
80,-20164,142,660,5204.099999999999
85,-21025,145,655,5233.200000000001
90,-15625,125,563,4534.799999999999
95,-9604,98,517,4067.5
100,-12769,113,577,4742.1
105,-9604,98,411,3401.6000000000004
110,-11664,108,398,3304.0000000000005
115,-10000,100,425,3513.9
120,-7921,89,388,3142.7000000000007
125,-5476,74,259,2206.599999999999
130,-5929,77,273,2355.2
135,-3844,62,215,1733.3999999999999
140,-2116,46,124,1042.8
145,-3025,55,129,1106.6000000000001
150,-7056,84,293,2287.5000000000005
155,-7396,86,416,3203.4000000000005
160,-26569,163,1061,8029.8
165,-30276,174,1095,8311.2
170,-34225,185,904,7103.500000000001
175,-22201,149,914,6920.700000000001
180,-16384,128,779,5813.5
185,-12544,112,501,4084.9000000000005
190,-7744,88,377,3033.6999999999994
195,-7744,88,443,3707.4000000000005
200,-8100,90,540,4539.300000000002
205,-10404,102,519,4295.499999999999
210,-12321,111,648,5509.499999999999
215,-13924,118,637,5207.3
220,-20736,144,604,4967.000000000002
225,-23104,152,805,6722.1
230,-19881,141,746,6325.900000000001
235,-20736,144,666,5581.300000000001
240,-15129,123,606,5104.800000000001
245,-19321,139,671,5452.199999999999
250,-21904,148,878,6835.799999999999
255,-25281,159,1025,7918.099999999997
260,-26896,164,894,6670.4
265,-23716,154,848,6421.4
270,-26244,162,791,6086.299999999999
275,-24025,155,867,6590.700000000001
280,-15376,124,763,5759.200000000001
285,-15876,126,715,5643.000000000001
290,-27225,165,914,6997.300000000001
295,-25921,161,1014,7632.2
300,-32041,179,1637,12357.9
305,-33124,182,1371,10966.2
310,-28224,168,1359,10314.5
315,-27889,167,1198,9407.699999999997
320,-18496,136,775,6296.199999999999
325,-16641,129,617,4922.5
330,-17161,131,538,4307.6
335,-11025,105,477,3963.1
340,-11664,108,416,3362.0000000000005
345,-9025,95,350,2775.2999999999997
350,-6400,80,258,2022.5000000000002
355,-10816,104,392,3199.0
360,-7225,85,341,2762.1000000000004
