sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-729,27,42,350.2
10,-2401,49,116,940.4
15,-4225,65,268,2224.5
20,-4225,65,194,1603.2
25,-6724,82,395,3295.099999999999
30,-3844,62,147,1199.0000000000002
35,-5329,73,273,2120.0999999999995
40,-10000,100,645,4954.5
45,-9801,99,636,4985.900000000001
50,-9025,95,616,4839.8
55,-9801,99,845,6460.4
60,-23409,153,1444,11036.500000000002
65,-27556,166,1315,10009.600000000004
70,-24649,157,1272,9311.8
75,-25921,161,1018,7472.5
80,-26896,164,1024,7859.299999999999
85,-24649,157,970,7247.4
90,-17689,133,1003,7423.100000000002
95,-23104,152,1199,8870.199999999999
100,-23716,154,1653,12021.699999999997
105,-20449,143,1417,10343.100000000002
110,-14400,120,1374,9788.2
115,-11236,106,756,5518.0
120,-8649,93,678,5043.299999999998
125,-15625,125,1036,7721.500000000002
130,-19881,141,831,6386.4
135,-19044,138,819,6218.400000000001
140,-17161,131,751,5982.600000000001
145,-14161,119,749,6095.4
150,-20164,142,899,6940.4000000000015
155,-30625,175,1209,9656.8
160,-33124,182,1071,8585.900000000001
165,-34596,186,1148,9534.400000000001
170,-37636,194,1088,8916.300000000003
175,-32761,181,1161,9289.699999999997
180,-31684,178,1402,10981.600000000002
185,-27225,165,1102,8417.599999999999
190,-26896,164,1032,8113.699999999999
195,-27889,167,882,7094.5
200,-21025,145,837,6511.7
205,-23716,154,1312,9730.5
210,-25921,161,1682,12209.499999999998
215,-44100,210,2264,16798.399999999994
220,-51984,228,2413,17768.400000000005
225,-53361,231,1603,12477.499999999998
230,-56169,237,1780,13960.3
235,-49729,223,1882,14686.700000000003
240,-38809,197,1600,12707.5
245,-33489,183,1570,11920.699999999999
250,-31329,177,1274,10260.1
255,-32041,179,1000,7936.5
260,-26244,162,946,7440.599999999998
265,-37249,193,1632,12834.0
270,-43681,209,1992,15370.899999999998
275,-44944,212,1962,15338.7
280,-49729,223,2453,19329.900000000005
285,-47089,217,1822,14646.399999999998
290,-45796,214,1710,13634.599999999997
295,-57121,239,2431,19014.600000000002
300,-39204,198,2521,19888.09999999999
305,-28224,168,1548,11566.4
310,-20164,142,1054,7793.299999999998
315,-25281,159,955,7536.200000000001
320,-32761,181,1163,9030.499999999998
325,-37636,194,1756,13393.200000000004
330,-42025,205,1668,12657.300000000001
335,-47089,217,1809,13974.9
340,-44521,211,1802,14147.199999999999
345,-39204,198,1907,15293.299999999994
350,-40804,202,2217,17435.200000000004
355,-42849,207,1284,9409.300000000001
360,-33124,182,1396,10254.300000000001
365,-35344,188,1309,9866.0
370,-36481,191,1376,10828.500000000004
375,-28224,168,1565,11432.6
380,-26244,162,1689,12212.400000000005
385,-17424,132,1020,7501.399999999999
390,-18496,136,826,5946.200000000003
395,-19321,139,627,4995.300000000001
400,-16900,130,691,5421.200000000001
405,-18496,136,559,4649.299999999998
410,-20449,143,882,7372.699999999998
415,-27889,167,1396,11448.900000000001
420,-30625,175,1316,10971.499999999996
425,-31329,177,1779,14790.699999999997
430,-30276,174,1460,12047.0
435,-27556,166,1624,13434.099999999993
440,-33124,182,2245,18389.499999999993
445,-30976,176,2129,17278.100000000006
450,-34596,186,2218,18153.399999999994
455,-32041,179,1257,10471.899999999998
460,-27556,166,1561,13041.600000000006
465,-19881,141,1927,15917.200000000003
470,-22500,150,1423,11638.699999999997
475,-21316,146,865,7050.299999999997
480,-22801,151,906,7664.399999999997
485,-25281,159,1137,9422.600000000002
490,-29241,171,1220,9911.499999999998
495,-40804,202,1776,13995.600000000002
500,-36864,192,1663,13123.5
505,-32761,181,1741,14037.899999999996
510,-19881,141,1192,9543.400000000001
515,-21904,148,1073,8704.5
520,-28224,168,1008,8300.099999999999
525,-38416,196,1356,11113.4
530,-47524,218,1521,11945.6
535,-46225,215,1748,13551.099999999999
540,-41616,204,2092,15680.400000000001
545,-47089,217,2393,18188.4
550,-58564,242,2330,17868.2
555,-62500,250,2186,17412.699999999997
560,-59049,243,2168,17741.499999999996
565,-52441,229,2318,18969.299999999996
570,-42025,205,1949,15605.900000000001
575,-37636,194,1687,12936.2
580,-41616,204,1945,15049.299999999997
585,-43264,208,1948,14620.5
590,-47089,217,1962,14570.599999999995
595,-44100,210,1554,11705.999999999996
600,-38416,196,1839,13844.100000000002
605,-29241,171,1365,10353.599999999995
610,-32041,179,1291,9859.3
615,-25921,161,1115,8336.700000000003
620,-17424,132,678,5480.599999999999
625,-16641,129,714,5697.400000000001
630,-24649,157,973,7654.0999999999985
635,-38809,197,1438,11022.199999999999
640,-41616,204,1612,12447.899999999998
645,-43681,209,1539,12325.199999999997
650,-34225,185,1378,10685.900000000001
655,-31684,178,1425,10868.1
660,-25921,161,1211,9219.0
665,-39204,198,1635,12523.099999999999
670,-34596,186,1972,15262.599999999997
675,-31684,178,1191,9316.5
680,-25281,159,1093,8967.800000000001
685,-25921,161,807,6510.1
690,-17424,132,689,5714.799999999999
695,-15625,125,512,4126.999999999999
700,-10000,100,516,4179.799999999999
705,-10201,101,454,3821.0999999999995
710,-5625,75,246,1956.6
715,-6400,80,301,2494.6
720,-7396,86,296,2370.7
725,-7921,89,223,1863.0000000000005
730,-5776,76,421,3411.199999999998
735,-6561,81,241,2009.8999999999999
740,-7396,86,344,2862.2000000000003
745,-18496,136,853,6974.0
750,-21025,145,701,5868.999999999998
755,-23409,153,834,6976.0
760,-12100,110,554,4433.700000000001
765,-12996,114,663,5014.6
770,-16129,127,885,6533.399999999998
775,-17424,132,907,6663.9
780,-16900,130,1328,9599.899999999996
785,-21609,147,1506,10927.399999999996
790,-26569,163,1531,11068.999999999998
795,-37636,194,1713,12517.000000000004
800,-40401,201,1576,11641.599999999999
805,-40000,200,1349,10059.6
810,-33856,184,1224,9063.000000000002
815,-38809,197,1645,12132.700000000003
820,-40401,201,1567,11224.0
825,-32400,180,1330,9693.1
830,-42849,207,1777,13087.0
835,-51076,226,1978,14769.800000000005
840,-62500,250,2646,19956.199999999993
845,-47524,218,2115,15648.999999999996
850,-50176,224,2839,20560.800000000007
855,-44521,211,2994,21712.6
860,-42025,205,2906,21265.5
865,-37636,194,2110,15328.800000000003
870,-36100,190,1864,13469.799999999997
875,-38809,197,2133,15153.199999999999
880,-44100,210,2213,15564.300000000005
885,-35344,188,1781,12939.9
890,-37249,193,2048,14855.100000000002
895,-28561,169,1325,9971.2
900,-27889,167,1084,8338.000000000002
905,-32761,181,1388,10878.800000000003
910,-36864,192,1588,12402.7
915,-41209,203,1754,13572.899999999994
920,-36481,191,1934,15263.500000000004
925,-39204,198,2389,19047.300000000003
930,-27225,165,1768,13547.1
935,-29241,171,1597,12481.099999999999
940,-30625,175,2045,15929.599999999999
945,-44521,211,2480,18693.6
950,-39601,199,2225,16881.5
955,-36100,190,2049,16028.100000000002
960,-28224,168,1132,9127.600000000002
965,-29929,173,1522,12357.500000000004
970,-24025,155,1028,8216.1
975,-29929,173,956,7663.8
980,-22500,150,1008,8214.3
985,-18225,135,945,7507.800000000001
990,-18769,137,1394,10988.900000000001
995,-18225,135,1020,8312.6
1000,-19321,139,914,7396.599999999996
1005,-15876,126,587,4848.700000000002
