sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-1936,44,109,845.7
10,-1369,37,78,636.3
15,-3600,60,160,1316.2000000000003
20,-5625,75,232,1957.1000000000004
25,-4225,65,333,2476.4
30,-5776,76,334,2581.4
35,-5625,75,306,2521.2
40,-8464,92,498,3960.7000000000007
45,-9801,99,394,3031.2999999999997
50,-7569,87,376,2851.899999999999
55,-8281,91,424,3308.6999999999994
60,-15129,123,739,5610.4
65,-11236,106,576,4333.199999999999
70,-6400,80,377,2791.8
75,-11664,108,468,3655.999999999999
80,-11236,106,460,3596.8
85,-11236,106,747,5524.900000000001
90,-17956,134,1039,7864.999999999998
95,-26244,162,1539,11352.400000000001
100,-30276,174,1898,14094.699999999993
105,-30625,175,1927,14687.199999999997
110,-26896,164,1605,12424.500000000005
115,-24964,158,1653,13173.8
120,-28224,168,1871,15155.700000000004
125,-35344,188,1706,13310.300000000003
130,-34969,187,1195,9109.1
135,-25281,159,1012,8150.499999999998
140,-18225,135,925,7547.4
145,-18225,135,886,7002.6
150,-18225,135,661,5216.200000000001
155,-14161,119,689,5570.8
160,-12544,112,702,5549.999999999998
165,-12996,114,601,4530.4
170,-12996,114,651,4822.299999999999
175,-13456,116,860,6079.000000000001
180,-10609,103,621,4606.5999999999985
185,-8836,94,422,3304.7
190,-17424,132,904,7001.2
195,-26244,162,1090,8585.800000000003
200,-38025,195,1678,12890.5
205,-47089,217,2588,19708.800000000003
210,-32761,181,2571,19694.499999999993
215,-42849,207,2993,23109.399999999998
220,-43681,209,2922,22606.799999999996
225,-45369,213,2736,21013.100000000002
230,-55225,235,2159,16908.6
235,-52441,229,1958,15614.0
240,-40401,201,2513,19779.59999999999
245,-38025,195,2260,17196.899999999998
250,-28900,170,2356,17443.6
255,-32041,179,2308,17306.100000000006
260,-28561,169,2514,18709.3
265,-29584,172,3273,24435.800000000003
270,-25281,159,2020,15509.900000000003
275,-15625,125,1158,9143.800000000003
280,-16129,127,1024,8201.8
285,-19044,138,1403,11175.1
290,-24025,155,931,7379.100000000001
295,-24336,156,1076,8619.7
300,-26569,163,1370,11090.100000000002
305,-17424,132,1308,10619.000000000004
310,-28561,169,1922,15595.199999999993
315,-28561,169,2317,18921.200000000004
320,-23409,153,2111,17135.699999999993
325,-17161,131,1311,10575.700000000003
330,-14400,120,715,5497.299999999997
335,-14641,121,491,3754.9
340,-14400,120,557,4619.0
345,-16900,130,666,5411.800000000001
350,-29241,171,1065,8608.800000000001
355,-32400,180,1285,10519.800000000003
360,-32041,179,1531,12368.599999999997
365,-18496,136,1255,10403.799999999997
370,-18225,135,1517,12423.2
375,-18225,135,726,5824.899999999999
380,-17956,134,769,6223.3
385,-18496,136,1066,8599.0
390,-15625,125,1131,9261.900000000001
