sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-1521,39,102,887.9
10,-7569,87,287,2397.7000000000007
15,-17161,131,646,5400.4000000000015
20,-23716,154,1120,9193.700000000003
25,-27225,165,1084,8925.199999999999
30,-27225,165,834,6712.000000000001
35,-34596,186,989,8179.500000000001
40,-27889,167,998,8208.3
45,-34225,185,1360,11188.000000000004
50,-24025,155,1174,9718.300000000001
55,-20449,143,948,7681.500000000002
60,-16384,128,838,6510.700000000001
65,-16641,129,856,6385.3
70,-19321,139,936,6977.6
75,-15876,126,1002,7472.1
80,-28561,169,1377,10355.300000000001
85,-27556,166,1210,8977.700000000003
90,-29929,173,1544,11222.199999999997
95,-27556,166,1520,11283.199999999997
100,-28561,169,1272,9673.599999999999
105,-23104,152,1227,9302.400000000001
110,-22500,150,852,6594.7
115,-26244,162,742,5941.400000000001
120,-20164,142,816,6179.1
125,-15129,123,700,5273.000000000001
130,-14400,120,536,4332.3
135,-18225,135,519,4063.9
140,-14161,119,612,4695.400000000001
145,-19321,139,836,6122.999999999999
150,-11881,109,864,6179.100000000003
155,-11664,108,898,6461.100000000001
160,-16384,128,1042,7575.500000000001
165,-20164,142,1470,10485.400000000001
170,-17424,132,1964,13895.400000000001
175,-17424,132,2453,17248.4
180,-17424,132,1656,11470.699999999999
185,-18496,136,2024,14063.999999999996
190,-19600,140,2561,17838.300000000003
195,-23716,154,2328,16596.800000000007
200,-22801,151,2117,15140.500000000005
205,-18496,136,1643,11686.699999999995
210,-18769,137,682,5263.300000000002
215,-15376,124,563,4470.7
220,-16129,127,617,4591.699999999999
225,-21316,146,793,6047.399999999998
230,-31684,178,1232,9467.199999999999
235,-30625,175,1281,10170.5
240,-29241,171,1103,8921.4
245,-29929,173,939,7689.800000000002
250,-28900,170,889,6961.799999999999
255,-21609,147,904,7479.9000000000015
260,-25600,160,1126,9082.1
265,-31684,178,1052,8437.699999999997
270,-32041,179,1079,8590.099999999999
275,-39601,199,1446,11411.699999999999
280,-36100,190,1346,10547.5
285,-31684,178,1709,13493.500000000002
290,-32400,180,1826,13808.7
295,-40401,201,2404,17958.0
300,-38025,195,2617,19102.699999999993
305,-36481,191,2926,21051.00000000001
310,-34969,187,2811,20691.300000000014
315,-42025,205,2726,20400.1
320,-47961,219,2400,18622.799999999996
325,-32400,180,1686,13881.0
330,-23409,153,1235,10150.499999999996
335,-23104,152,1029,8506.8
340,-27556,166,1156,9100.999999999998
345,-28561,169,1462,11737.0
350,-28900,170,1559,12756.5
355,-26569,163,1453,11848.5
360,-32761,181,1799,14660.099999999999
365,-36481,191,1752,14394.199999999999
370,-34969,187,1941,15906.000000000004
375,-32400,180,2647,21590.999999999996
380,-34969,187,3181,25874.900000000005
385,-42025,205,3177,25564.69999999999
390,-46656,216,2463,19966.399999999994
395,-44521,211,1717,13851.499999999998
400,-43264,208,1666,13544.599999999997
405,-27225,165,1526,12135.899999999998
410,-24025,155,1612,13241.700000000006
415,-24649,157,2190,17778.7
420,-29241,171,2198,17688.5
425,-33489,183,2358,18773.699999999997
430,-36481,191,2167,16972.1
435,-40401,201,2058,15981.300000000003
440,-51076,226,1987,15269.400000000001
445,-58564,242,1759,13478.499999999996
450,-53361,231,1968,15303.699999999999
455,-53361,231,1995,15175.899999999998
460,-48400,220,2235,16624.799999999996
465,-43264,208,1889,14074.599999999995
470,-40000,200,1397,10879.2
475,-35344,188,1171,9122.5
480,-28900,170,1111,8646.2
485,-23104,152,1327,10386.9
490,-16641,129,1047,8311.5
495,-12996,114,456,3845.3999999999996
500,-16900,130,614,4877.099999999999
505,-23409,153,932,7499.800000000002
510,-24649,157,867,6854.0
515,-23409,153,869,7064.700000000002
520,-25600,160,1197,9668.200000000004
525,-22500,150,927,7375.5999999999985
530,-19881,141,813,6347.099999999999
535,-16900,130,643,5295.499999999998
540,-14400,120,508,4193.700000000001
545,-17424,132,955,7702.3
550,-14884,122,565,4358.3
555,-24649,157,589,4800.2
560,-24964,158,795,6323.299999999999
565,-21316,146,852,7018.4
570,-16900,130,612,4920.4
575,-14161,119,627,5322.099999999999
580,-13225,115,500,4018.5
585,-9604,98,544,4150.2
590,-7744,88,327,2608.3999999999996
595,-8281,91,329,2622.2
600,-7225,85,296,2380.6999999999994
605,-6889,83,299,2284.0
610,-7396,86,335,2612.9
615,-10816,104,533,4023.8
620,-12100,110,593,4425.200000000001
625,-16129,127,775,5893.1
630,-17424,132,877,6589.800000000002
635,-21025,145,1176,8651.199999999995
640,-22500,150,1641,11836.099999999995
645,-24025,155,1433,10270.599999999997
650,-21609,147,1726,12281.799999999994
655,-21316,146,634,5012.1
660,-16900,130,730,5972.700000000001
665,-21025,145,1317,10432.300000000005
670,-30276,174,1190,9263.300000000001
675,-28224,168,1062,8254.999999999998
680,-33489,183,986,7948.6
685,-35721,189,1060,8698.5
690,-38809,197,1460,12076.000000000002
695,-27225,165,1724,13930.400000000003
700,-31684,178,2178,17202.999999999996
705,-40401,201,2760,21559.000000000004
710,-36100,190,2328,17712.6
715,-33856,184,1825,13678.700000000004
720,-30276,174,1179,9142.0
725,-26896,164,1300,9844.3
730,-28561,169,1160,9522.400000000001
735,-30976,176,1651,13490.300000000003
740,-45796,214,2033,16439.199999999997
745,-44944,212,2119,16673.1
750,-44944,212,2046,15859.599999999999
755,-49729,223,1855,14771.60000000001
760,-65025,255,1959,15636.300000000005
765,-51076,226,2246,18016.899999999994
770,-58564,242,2656,21222.6
775,-50625,225,2035,16216.699999999995
780,-47961,219,2359,19173.499999999996
785,-42849,207,2832,23185.399999999998
790,-37249,193,3054,25053.100000000002
795,-24025,155,3418,28123.500000000004
800,-39601,199,4295,35245.200000000004
805,-36864,192,4495,36749.500000000015
810,-27556,166,3076,24900.600000000002
815,-28561,169,2324,19020.499999999996
820,-31329,177,1122,9131.7
825,-28561,169,1346,10954.199999999999
830,-35344,188,1461,11628.800000000001
835,-40000,200,1479,11729.1
840,-35344,188,1570,12186.8
845,-25921,161,1468,11435.400000000001
850,-37636,194,1888,14307.700000000004
855,-28224,168,1517,11413.900000000001
860,-23409,153,1101,8049.0
865,-20736,144,738,5716.3
870,-17956,134,624,5048.2
875,-14161,119,659,4968.0
880,-16129,127,584,4714.599999999999
885,-20164,142,648,5209.599999999999
890,-16900,130,680,5609.100000000002
895,-18769,137,789,6683.200000000001
900,-23716,154,970,7974.500000000002
905,-19600,140,782,6605.400000000001
910,-16900,130,1048,8765.0
