sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-900,30,43,374.4
10,-6400,80,267,2272.7999999999997
15,-9216,96,398,3136.3999999999996
20,-11664,108,444,3540.399999999999
25,-15376,124,715,5758.2
30,-10404,102,699,5643.2
35,-8281,91,415,3497.8999999999996
40,-9801,99,678,5518.7
45,-9409,97,423,3447.6000000000004
50,-9025,95,498,4101.099999999999
55,-3969,63,201,1641.6999999999998
60,-8100,90,450,3685.8999999999987
65,-7569,87,746,6109.0999999999985
70,-10000,100,840,6942.999999999998
75,-15376,124,991,8156.0999999999985
80,-19321,139,883,7155.6
85,-25281,159,935,7767.799999999998
90,-33856,184,1368,11481.700000000003
95,-39204,198,1919,15667.699999999997
100,-31329,177,2292,18878.000000000004
105,-25921,161,2680,21950.499999999996
110,-19600,140,2932,23830.000000000004
115,-16641,129,2698,21633.300000000003
120,-25921,161,2536,20078.600000000002
125,-19321,139,1459,11214.400000000001
130,-17161,131,721,5661.0
135,-17689,133,661,5077.700000000001
140,-15876,126,646,5095.299999999999
145,-15876,126,680,5385.6
150,-15876,126,599,4991.299999999999
155,-24964,158,820,6868.799999999999
160,-21904,148,1126,9314.800000000003
165,-21316,146,1093,9002.399999999998
170,-22801,151,740,6080.000000000001
175,-25921,161,765,6117.599999999999
180,-29241,171,856,6503.899999999999
185,-24964,158,868,6523.400000000001
190,-16641,129,706,5579.200000000001
195,-19321,139,882,7076.9
200,-34225,185,1569,12231.100000000006
205,-38416,196,1265,9829.7
210,-37249,193,1319,10362.2
215,-34969,187,1631,12369.400000000001
220,-27556,166,1524,11351.4
225,-23409,153,1515,11484.800000000001
230,-23104,152,1026,7767.299999999996
235,-19044,138,980,7183.5
240,-10816,104,684,5514.600000000002
245,-12996,114,703,5813.199999999999
250,-15876,126,536,4387.299999999999
255,-23716,154,743,6146.999999999999
260,-24025,155,881,6966.6
265,-20449,143,879,7245.5
270,-17689,133,746,5853.3
275,-33489,183,1161,9199.800000000003
280,-32761,181,1206,9453.199999999999
285,-29584,172,1133,8391.400000000003
290,-26569,163,1409,10101.099999999997
295,-20736,144,1829,13065.700000000003
300,-13924,118,1379,10070.899999999998
305,-17956,134,1577,11416.000000000004
310,-16129,127,1490,10912.100000000002
315,-18769,137,1922,13834.0
320,-16641,129,2420,17302.6
325,-28561,169,2362,17058.9
330,-23104,152,2619,18480.9
335,-19321,139,2213,15557.499999999993
340,-31329,177,2810,19804.800000000007
345,-24649,157,2507,17467.299999999996
350,-19881,141,1823,13169.6
355,-15876,126,1468,10686.7
360,-22801,151,1310,9345.2
365,-25600,160,1763,12589.899999999998
370,-21025,145,1666,12165.2
375,-30625,175,1328,10015.2
380,-35721,189,1063,8074.0
385,-33124,182,1316,9713.000000000002
390,-32041,179,1461,10712.100000000004
395,-37249,193,1687,12604.900000000001
400,-32761,181,1872,14041.700000000003
405,-29241,171,1601,11809.400000000003
410,-22201,149,1135,8527.199999999999
415,-20164,142,1376,10140.000000000002
420,-23409,153,1821,13333.4
425,-24025,155,1701,12178.6
430,-17689,133,1568,11356.099999999995
435,-18769,137,897,7010.200000000001
440,-14641,121,536,4262.900000000001
445,-17689,133,515,4074.7999999999997
450,-14400,120,566,4359.9
455,-20164,142,957,6961.099999999999
460,-17689,133,851,6249.000000000001
465,-18769,137,1209,8738.3
470,-23409,153,1798,12895.4
475,-19881,141,2246,15974.500000000002
480,-15376,124,1086,8009.000000000002
485,-16384,128,522,3946.8
490,-12100,110,584,4599.4
495,-15876,126,622,4802.599999999999
500,-16129,127,666,5227.900000000001
505,-7056,84,438,3505.9
510,-3136,56,163,1375.6000000000001
515,-5776,76,229,1909.2000000000007
520,-5929,77,371,2967.7
525,-13924,118,596,4870.699999999999
530,-14884,122,740,6089.299999999998
535,-22201,149,1223,9998.099999999999
540,-36100,190,2115,16985.300000000003
545,-36481,191,1934,15584.7
550,-33489,183,2036,16490.7
555,-40000,200,1664,13339.199999999997
