sim_step,reward,total_queue,total_waiting_time,total_co2_emissions
5,-1024,32,45,386.9
10,-1369,37,88,726.0
15,-3025,55,129,1041.0000000000002
20,-4489,67,198,1575.3
25,-5929,77,226,1890.6999999999998
30,-4096,64,174,1397.3999999999999
35,-3969,63,191,1529.0999999999997
40,-2401,49,148,1227.1
45,-2209,47,108,925.4000000000001
50,-3481,59,149,1206.3
55,-2916,54,209,1555.6000000000004
60,-2209,47,171,1276.4999999999998
65,-5184,72,244,1903.8
70,-5329,73,270,2067.4000000000005
75,-8464,92,333,2602.7999999999997
80,-8281,91,286,2299.2
85,-9801,99,319,2632.3999999999996
90,-9409,97,308,2483.8999999999996
95,-7396,86,323,2505.1
100,-7744,88,250,2120.1000000000004
105,-7744,88,273,2420.1000000000004
110,-4624,68,214,1867.1
115,-3844,62,142,1195.3
120,-4356,66,182,1612.8999999999999
125,-3844,62,216,1878.6000000000006
130,-4624,68,156,1327.1
135,-3025,55,177,1477.0000000000002
140,-2401,49,114,931.5000000000001
145,-2916,54,126,1127.8999999999999
150,-2209,47,105,906.9000000000001
155,-1849,43,120,964.3
160,-1681,41,95,801.3999999999999
165,-2209,47,108,898.3000000000001
170,-1936,44,126,1032.2000000000003
175,-3844,62,174,1372.4
180,-2601,51,169,1313.6999999999998
185,-900,30,67,551.3
190,-841,29,89,714.0999999999999
195,-1089,33,82,651.4
200,-1936,44,66,541.9
205,-1681,41,76,687.0
210,-1369,37,61,531.2
215,-529,23,41,320.29999999999995
220,-1521,39,77,657.4
225,-2601,51,114,935.9
230,-3249,57,160,1303.6
235,-1600,40,148,1199.2
240,-1444,38,96,746.6000000000003
245,-1521,39,76,662.7
250,-3025,55,110,899.1999999999999
255,-1444,38,89,683.8000000000001
260,-3025,55,138,1104.6000000000001
265,-961,31,53,471.6000000000001
270,-400,20,46,395.6
275,-1764,42,79,627.4000000000001
280,-1681,41,72,663.6
285,-2500,50,119,1026.5
290,-3136,56,115,1010.5
295,-1936,44,104,884.5
300,-1225,35,67,597.8999999999999
305,-4096,64,142,1301.0
310,-4356,66,184,1617.5000000000002
315,-4624,68,178,1576.8000000000002
320,-3249,57,210,1772.2000000000003
325,-2809,53,186,1628.6000000000001
330,-4761,69,187,1638.4999999999995
335,-2704,52,154,1333.1999999999998
340,-3600,60,128,1099.3999999999999
345,-3249,57,176,1548.6
350,-1764,42,143,1239.9
355,-729,27,55,433.79999999999995
360,-1156,34,60,515.0999999999999
365,-2304,48,91,847.6
370,-1444,38,107,967.7
375,-2704,52,92,766.5
380,-2704,52,122,1035.2
385,-2500,50,152,1312.2
390,-3721,61,152,1307.7000000000003
395,-3025,55,147,1187.4
400,-4356,66,153,1233.7000000000003
405,-6241,79,205,1672.8999999999996
410,-5041,71,259,1997.6
415,-5329,73,272,2121.9000000000005
420,-4761,69,182,1487.0
425,-5476,74,199,1689.0999999999997
430,-6889,83,248,1930.5
435,-5776,76,289,2194.7
440,-4900,70,239,1975.6
445,-2500,50,175,1530.2
450,-4096,64,119,1042.5
455,-3721,61,192,1593.3000000000002
460,-4761,69,184,1637.2
465,-4489,67,232,1978.3999999999996
470,-2916,54,146,1165.4
475,-4356,66,226,1837.5
480,-4489,67,227,1932.8000000000002
485,-3721,61,239,2030.3000000000002
490,-3136,56,147,1309.3
495,-2401,49,124,1067.0
500,-1156,34,89,752.7
505,-2304,48,131,1115.7
510,-1849,43,106,918.8999999999999
515,-2704,52,146,1187.6
520,-3364,58,139,1144.4999999999998
525,-2500,50,132,1114.5
530,-1849,43,84,697.8
535,-1444,38,73,624.3
540,-3721,61,154,1339.4
545,-1600,40,137,1200.3
550,-2025,45,92,829.1
555,-3136,56,132,1008.6000000000001
560,-4096,64,217,1630.1999999999998
565,-2601,51,144,1214.8999999999996
570,-2401,49,120,960.8
