sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,0,0,0,0,0,0,0,0,0,0
10,-4,0,0,0,1,0,0,0,1,2
15,-9,0,0,0,2,0,0,0,1,3
20,-16,0,0,0,3,0,0,0,1,4
25,-25,0,0,0,3,0,0,0,2,5
30,-49,0,0,0,4,0,0,0,3,7
35,-25,0,0,0,4,0,0,1,0,5
40,-1,0,0,0,0,0,0,1,0,1
45,-1,0,0,0,0,0,0,1,0,1
50,-4,0,1,0,0,0,0,1,0,2
55,-16,0,1,0,0,0,0,2,1,4
60,-9,0,1,0,0,0,0,1,1,3
65,-9,0,1,0,0,0,1,0,1,3
70,-9,0,1,0,0,0,1,0,1,3
75,-16,0,1,0,0,0,1,0,2,4
80,-25,0,1,0,1,0,1,0,2,5
85,-25,0,1,0,1,0,1,0,2,5
90,-25,0,0,1,1,0,1,0,2,5
95,-49,0,0,1,1,0,1,1,3,7
100,-100,1,0,1,1,0,2,2,3,10
105,-121,1,0,2,1,0,2,2,3,11
110,-144,1,0,2,1,0,2,2,4,12
115,-144,1,0,2,1,0,2,2,4,12
120,-144,1,0,2,1,0,2,2,4,12
125,-100,0,0,2,1,0,0,3,4,10
130,-100,0,0,2,1,0,0,3,4,10
135,-121,0,1,2,1,0,0,3,4,11
140,-169,0,1,2,1,1,0,4,4,13
145,-169,0,1,2,1,1,0,4,4,13
150,-169,0,1,2,1,1,0,5,3,13
155,-100,0,1,2,0,1,0,5,1,10
160,-81,0,1,2,0,1,0,5,0,9
165,-100,0,1,2,0,1,0,6,0,10
170,-100,0,1,2,0,1,0,6,0,10
175,-100,0,1,2,0,1,0,6,0,10
180,-64,0,1,1,0,1,0,5,0,8
185,-36,0,1,0,0,1,0,4,0,6
190,-9,0,1,0,0,1,0,0,1,3
195,-16,0,2,0,0,1,0,0,1,4
200,-16,0,2,0,0,1,0,0,1,4
205,-25,0,2,1,0,1,0,0,1,5
210,-9,0,1,0,0,1,0,0,1,3
215,-1,0,0,0,0,0,0,0,1,1
220,-4,0,0,0,1,0,0,0,1,2
225,-25,0,0,1,2,0,0,0,2,5
230,-49,0,0,1,3,0,0,0,3,7
235,-81,0,0,2,3,0,0,1,3,9
240,-100,0,0,2,3,0,0,1,4,10
245,-121,0,0,2,3,0,0,2,4,11
250,-169,0,0,2,3,0,0,2,6,13
255,-256,0,0,2,4,0,0,2,8,16
260,-256,0,0,2,4,0,0,2,8,16
265,-256,0,0,2,4,0,0,2,8,16
270,-256,0,0,2,4,0,0,2,8,16
275,-169,0,0,3,1,0,0,4,5,13
280,-144,0,0,4,0,0,0,4,4,12
285,-144,0,0,4,0,0,0,6,2,12
290,-100,0,0,4,0,0,0,6,0,10
295,-100,0,0,4,0,0,0,6,0,10
300,-81,0,0,3,0,0,0,6,0,9
