sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
5,-1,0,0,0,0,0,0,0,1,1
10,-4,1,0,0,0,0,0,0,1,2
15,-4,1,0,0,0,0,0,0,1,2
20,-16,1,0,0,0,0,1,1,1,4
25,-9,1,0,0,0,0,1,0,1,3
30,-16,0,0,0,1,0,1,1,1,4
35,-16,0,0,0,1,0,0,2,1,4
40,-16,0,0,0,1,0,0,2,1,4
45,-25,0,0,0,1,1,0,2,1,5
50,-25,0,0,0,1,1,0,2,1,5
55,-36,0,0,0,1,1,0,3,1,6
60,-36,0,0,0,0,2,0,4,0,6
65,-36,0,0,0,0,2,0,4,0,6
70,-49,0,0,0,0,2,0,5,0,7
75,-49,0,0,0,0,2,0,5,0,7
80,-64,0,0,0,0,2,0,6,0,8
85,-64,0,0,0,0,2,0,6,0,8
90,-81,0,0,0,1,2,0,6,0,9
95,-36,0,0,0,1,2,0,3,0,6
100,-16,0,0,0,2,2,0,0,0,4
105,-16,0,0,0,2,2,0,0,0,4
110,-25,1,0,0,2,2,0,0,0,5
115,-36,1,1,0,2,2,0,0,0,6
120,-36,0,1,0,3,2,0,0,0,6
125,-49,0,1,0,4,2,0,0,0,7
130,-49,0,1,0,4,2,0,0,0,7
135,-49,0,1,0,4,2,0,0,0,7
140,-64,0,1,0,4,2,0,1,0,8
145,-121,0,1,0,4,2,0,3,1,11
150,-144,0,1,1,4,3,0,3,0,12
155,-121,0,1,2,2,3,0,3,0,11
160,-100,0,1,2,0,3,0,4,0,10
165,-100,0,1,2,0,3,0,4,0,10
170,-100,0,1,2,0,3,0,4,0,10
175,-100,0,1,2,0,3,0,4,0,10
180,-100,0,1,3,0,3,0,3,0,10
185,-49,0,1,0,0,3,0,3,0,7
190,-25,0,1,0,0,3,0,1,0,5
195,-16,0,1,0,0,3,0,0,0,4
200,-16,0,1,0,0,3,0,0,0,4
205,-25,0,1,0,0,3,0,0,1,5
210,-16,0,0,0,0,3,0,0,1,4
215,-1,0,0,0,0,0,0,0,1,1
220,-4,0,0,0,0,0,1,0,1,2
225,-9,0,0,0,1,0,1,0,1,3
230,-25,0,0,0,1,0,1,0,3,5
235,-64,0,0,0,3,0,1,1,3,8
240,-36,0,0,0,2,0,1,1,2,6
245,-9,0,0,0,0,1,1,1,0,3
250,-9,0,0,0,0,1,1,1,0,3
255,-25,0,0,1,0,1,1,2,0,5
260,-36,0,0,1,0,1,2,2,0,6
265,-64,1,0,2,0,1,2,2,0,8
270,-64,1,0,2,0,1,2,2,0,8
275,-16,1,0,0,0,1,2,0,0,4
280,-36,1,1,0,1,1,2,0,0,6
285,-36,1,1,0,1,1,2,0,0,6
290,-36,1,1,0,1,1,2,0,0,6
295,-64,1,1,0,1,1,2,1,1,8
300,-36,1,1,0,1,1,1,0,1,6
305,-16,0,1,0,1,1,0,0,1,4
310,-49,0,1,1,1,2,0,0,2,7
315,-49,0,1,1,1,2,0,0,2,7
320,-49,0,1,1,1,2,0,0,2,7
325,-49,0,1,1,1,2,0,0,2,7
330,-49,0,1,2,0,2,0,0,2,7
335,-81,0,1,2,0,2,1,1,2,9
340,-64,0,1,2,0,2,1,2,0,8
345,-64,0,1,2,0,2,1,2,0,8
350,-121,0,1,2,0,2,2,4,0,11
355,-121,0,1,2,0,2,2,4,0,11
360,-121,0,1,2,0,2,2,4,0,11
365,-100,0,1,0,1,2,2,4,0,10
370,-64,0,1,0,1,2,2,2,0,8
375,-64,0,2,0,1,3,2,0,0,8
380,-64,0,2,0,1,3,2,0,0,8
385,-81,0,2,0,1,3,2,0,1,9
390,-81,0,2,0,1,3,2,0,1,9
395,-25,0,1,0,1,0,2,0,1,5
400,-25,0,0,0,1,0,2,1,1,5
405,-36,0,0,0,1,0,2,1,2,6
410,-49,0,0,0,1,0,2,2,2,7
415,-64,0,0,0,2,0,2,2,2,8
420,-49,0,0,0,1,0,2,2,2,7
425,-64,0,0,1,0,0,3,4,0,8
430,-81,1,0,1,0,0,3,4,0,9
435,-81,1,0,1,0,0,3,4,0,9
440,-81,1,0,1,0,0,3,4,0,9
445,-121,3,0,1,0,0,3,4,0,11
450,-81,2,0,1,0,0,2,4,0,9
455,-36,1,0,1,0,0,0,4,0,6
460,-36,0,0,1,0,0,0,5,0,6
465,-49,0,0,1,0,0,0,5,1,7
470,-64,0,0,1,0,0,0,5,2,8
475,-144,1,0,2,0,1,0,5,3,12
480,-81,0,0,1,0,1,0,4,3,9
485,-64,1,0,0,0,1,0,3,3,8
490,-36,1,0,0,0,1,0,1,3,6
495,-49,1,1,0,1,1,0,0,3,7
500,-49,1,1,0,1,1,0,0,3,7
505,-49,1,1,0,1,1,0,0,3,7
510,-49,1,1,0,1,1,0,0,3,7
515,-36,1,1,0,0,1,0,2,1,6
520,-36,2,1,0,0,1,0,2,0,6
525,-36,2,1,0,0,1,0,2,0,6
530,-36,2,1,0,0,1,0,2,0,6
535,-49,2,1,0,0,1,0,3,0,7
540,-49,2,1,0,0,1,0,3,0,7
545,-25,2,1,0,0,1,0,1,0,5
550,-36,2,1,0,0,2,0,0,1,6
555,-36,2,1,0,0,2,0,0,1,6
560,-64,2,1,0,1,2,0,0,2,8
565,-81,2,1,0,1,2,0,0,3,9
570,-144,2,1,1,2,2,1,0,3,12
575,-121,0,1,1,2,3,0,0,4,11
580,-144,0,1,1,3,3,0,0,4,12
585,-169,0,1,1,3,3,0,0,5,13
590,-169,0,1,1,3,3,0,0,5,13
595,-225,0,1,1,5,3,0,0,5,15
600,-256,0,1,1,5,4,0,0,5,16
605,-144,0,1,1,2,4,0,0,4,12
610,-100,0,1,1,2,4,0,0,2,10
615,-49,0,1,1,0,4,0,1,0,7
620,-49,0,1,1,0,4,0,1,0,7
625,-49,0,1,1,0,4,0,1,0,7
630,-100,0,1,1,0,4,1,3,0,10
635,-64,0,1,0,0,4,1,2,0,8
640,-49,0,1,0,0,4,1,1,0,7
645,-36,0,1,0,0,4,1,0,0,6
650,-49,0,1,0,1,4,1,0,0,7
655,-64,0,2,0,1,4,1,0,0,8
660,-100,0,2,0,1,4,1,0,2,10
665,-25,0,0,0,1,1,1,0,2,5
670,-49,0,0,1,1,0,1,1,3,7
675,-81,0,0,1,2,0,1,2,3,9
680,-144,0,0,1,2,0,2,4,3,12
685,-144,0,0,1,2,0,2,4,3,12
690,-169,0,0,1,3,0,2,4,3,13
695,-100,0,0,1,1,0,2,4,2,10
700,-64,0,0,1,0,0,2,5,0,8
705,-64,0,0,1,0,0,2,5,0,8
710,-121,0,0,1,0,0,2,7,1,11
715,-144,0,0,1,0,0,2,9,0,12
720,-144,0,0,1,0,0,2,9,0,12
725,-100,0,0,0,1,0,2,6,1,10
730,-49,0,0,0,1,0,2,3,1,7
735,-49,0,0,0,2,0,2,2,1,7
740,-36,0,0,0,2,0,2,0,2,6
745,-64,0,0,0,2,1,2,0,3,8
750,-64,0,0,0,2,1,2,0,3,8
755,-25,0,0,1,0,1,2,0,1,5
760,-25,0,0,1,0,1,2,0,1,5
765,-36,0,0,1,0,1,2,2,0,6
770,-81,0,0,2,0,1,2,4,0,9
775,-100,0,0,2,0,1,2,5,0,10
780,-121,0,0,2,0,1,2,5,1,11
785,-49,1,0,0,0,1,2,2,1,7
790,-25,1,0,0,0,1,2,0,1,5
795,-25,1,0,0,0,1,2,0,1,5
800,-36,1,0,0,0,2,2,0,1,6
805,-81,1,2,0,1,2,2,0,1,9
810,-81,1,2,0,1,2,2,0,1,9
815,-49,0,2,0,1,2,0,1,1,7
820,-49,0,2,0,1,2,0,1,1,7
825,-49,0,2,0,1,2,0,1,1,7
830,-64,0,2,1,1,2,0,1,1,8
835,-64,0,2,1,1,2,0,1,1,8
840,-81,0,2,1,1,2,0,2,1,9
845,-49,0,0,2,1,0,0,3,1,7
850,-64,0,0,2,2,0,0,3,1,8
855,-121,0,0,2,2,1,1,4,1,11
860,-121,0,0,3,2,0,1,4,1,11
865,-121,0,0,3,2,0,1,4,1,11
870,-144,0,0,3,2,0,1,5,1,12
875,-81,0,0,1,2,0,1,3,2,9
880,-25,0,0,0,2,0,1,0,2,5
885,-25,0,0,0,2,0,1,0,2,5
890,-36,0,0,0,2,0,1,1,2,6
895,-25,0,0,0,2,0,1,0,2,5
900,-25,0,0,0,2,0,1,0,2,5
905,-16,0,0,0,0,1,1,1,1,4
910,-16,0,0,0,0,1,1,2,0,4
915,-36,0,0,2,0,1,1,2,0,6
920,-36,0,0,2,0,1,1,2,0,6
925,-36,0,0,2,0,1,1,2,0,6
930,-49,0,0,2,0,1,1,3,0,7
935,-25,0,0,1,0,1,1,1,1,5
940,-9,0,0,0,0,1,1,0,1,3
945,-9,0,0,0,0,1,1,0,1,3
950,-25,0,1,0,0,1,1,0,2,5
955,-49,0,1,0,1,1,1,0,3,7
960,-81,0,1,0,2,1,2,0,3,9
965,-16,0,1,0,0,1,2,0,0,4
970,-16,0,1,0,0,1,2,0,0,4
975,-16,0,1,0,0,1,2,0,0,4
980,-16,0,1,0,0,1,2,0,0,4
985,-16,0,1,0,0,1,2,0,0,4
990,-36,0,2,0,0,2,2,0,0,6
995,-49,1,2,0,0,2,2,0,0,7
1000,-9,1,0,0,0,0,2,0,0,3
1005,-9,1,0,0,0,0,2,0,0,3
1010,-9,1,0,0,0,0,2,0,0,3
1015,-9,1,0,0,0,0,2,0,0,3
1020,-25,1,0,0,0,0,3,0,1,5
1025,-4,0,0,1,0,0,0,0,1,2
1030,-9,0,0,1,0,0,0,1,1,3
1035,-16,0,0,1,0,0,0,1,2,4
1040,-16,0,0,1,0,0,0,1,2,4
1045,-25,0,0,1,0,0,0,2,2,5
1050,-64,0,0,1,1,0,0,3,3,8
1055,-49,0,0,1,0,0,1,3,2,7
1060,-49,0,0,2,0,0,1,4,0,7
1065,-81,0,0,2,0,0,1,6,0,9
1070,-100,0,0,2,0,0,1,7,0,10
1075,-169,1,0,3,0,1,1,7,0,13
1080,-169,1,0,3,0,1,1,7,0,13
1085,-100,1,0,1,1,2,1,4,0,10
1090,-49,1,0,0,1,2,1,2,0,7
1095,-25,1,0,0,1,2,1,0,0,5
1100,-25,1,0,0,1,2,1,0,0,5
1105,-36,1,0,1,1,2,1,0,0,6
1110,-36,1,0,0,2,2,1,0,0,6
1115,-36,0,0,1,3,2,0,0,0,6
1120,-36,0,0,1,3,2,0,0,0,6
1125,-49,0,0,1,3,3,0,0,0,7
1130,-64,0,0,1,3,3,0,1,0,8
1135,-121,0,0,1,3,4,0,3,0,11
1140,-121,0,0,1,3,4,0,3,0,11
1145,-121,0,0,1,3,2,0,4,1,11
1150,-81,0,0,1,3,0,0,4,1,9
1155,-81,0,0,1,3,0,0,4,1,9
1160,-121,0,0,1,5,0,0,4,1,11
1165,-196,0,0,1,5,0,1,5,2,14
1170,-196,0,0,1,5,0,1,5,2,14
1175,-81,0,0,1,2,0,1,5,0,9
1180,-100,0,0,1,2,0,2,5,0,10
1185,-81,0,0,1,0,0,2,5,1,9
1190,-64,0,0,1,0,0,2,5,0,8
1195,-100,0,0,2,0,0,2,6,0,10
1200,-121,0,0,3,0,0,2,6,0,11
1205,-121,0,1,0,0,0,2,8,0,11
1210,-121,0,1,0,0,0,2,8,0,11
1215,-64,0,1,0,0,0,2,5,0,8
1220,-49,0,1,0,0,0,2,4,0,7
1225,-25,0,1,0,0,0,2,2,0,5
1230,-49,0,1,0,0,0,2,2,2,7
1235,-36,0,1,0,0,0,2,3,0,6
1240,-49,0,1,0,0,1,2,3,0,7
1245,-49,0,1,0,0,1,2,3,0,7
1250,-81,0,1,1,0,1,2,3,1,9
1255,-121,0,1,1,0,1,2,4,2,11
1260,-81,0,1,1,0,1,2,4,0,9
1265,-100,0,1,0,0,2,2,5,0,10
1270,-81,0,1,0,1,2,2,3,0,9
1275,-100,0,2,0,2,2,3,0,1,10
